Customer Key,First Name,Last Name,Full Name,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,EduLevel,Occupation,DateFirstPurchase,CommuteDistance,CustomerCity,CustomerCountry
11018,Clarence,Rai,Clarence Rai,1955-10-06,S,Male,30000,2,Partial College,Clerical,2019-01-17,5-10 Miles,Bendigo,Australia
11019,Luke,Lal,Luke Lal,1983-09-04,S,Male,40000,0,High School,Skilled Manual,2021-02-12,5-10 Miles,Langley,Canada
11020,Jordan,King,Jordan King,1984-03-19,S,Male,40000,0,High School,Skilled Manual,2020-12-29,1-2 Miles,Metchosin,Canada
11021,Destiny,Wilson,Destiny Wilson,1984-03-02,S,Female,40000,0,Partial College,Skilled Manual,2021-01-23,1-2 Miles,Beaverton,United States
11022,Ethan,Zhang,Ethan Zhang,1984-04-10,M,Male,40000,0,Partial College,Skilled Manual,2021-01-20,5-10 Miles,Bellingham,United States
11023,Seth,Edwards,Seth Edwards,1984-04-09,M,Male,40000,0,Partial College,Skilled Manual,2021-02-17,1-2 Miles,Bellflower,United States
11024,Russell,Xie,Russell Xie,1984-03-16,M,Male,60000,0,Partial College,Skilled Manual,2021-06-27,5-10 Miles,Concord,United States
11025,Alejandro,Beck,Alejandro Beck,1951-06-22,M,Male,10000,2,Partial High School,Clerical,2019-01-06,1-2 Miles,Hawthorne,Australia
11026,Harold,Sai,Harold Sai,1951-10-01,S,Male,30000,2,Partial College,Clerical,2019-01-23,1-2 Miles,Goulburn,Australia
11027,Jessie,Zhao,Jessie Zhao,1952-06-05,M,Male,30000,2,Partial College,Clerical,2019-01-16,5-10 Miles,Warrnambool,Australia
11028,Jill,Jimenez,Jill Jimenez,1951-10-09,M,Female,30000,2,Partial College,Clerical,2019-01-26,1-2 Miles,St. Leonards,Australia
11029,Jimmy,Moreno,Jimmy Moreno,1952-06-19,M,Male,30000,2,Partial College,Clerical,2019-01-19,1-2 Miles,Bendigo,Australia
11030,Bethany,Yuan,Bethany Yuan,1958-02-18,M,Female,10000,2,Partial High School,Clerical,2019-02-05,1-2 Miles,Cloverdale,Australia
11031,Theresa,Ramos,Theresa Ramos,1953-02-18,M,Female,20000,4,High School,Skilled Manual,2019-02-01,1-2 Miles,Matraville,Australia
11032,Denise,Stone,Denise Stone,1952-12-08,M,Female,20000,4,High School,Skilled Manual,2019-02-18,1-2 Miles,Melbourne,Australia
11033,Jaime,Nath,Jaime Nath,1958-09-19,M,Male,20000,4,High School,Skilled Manual,2019-02-15,5-10 Miles,Milsons Point,Australia
11034,Ebony,Gonzalez,Ebony Gonzalez,1952-12-16,M,Female,20000,4,High School,Skilled Manual,2019-02-01,5-10 Miles,North Sydney,Australia
11035,Wendy,Dominguez,Wendy Dominguez,1953-08-23,M,Female,10000,2,Partial High School,Clerical,2019-02-06,1-2 Miles,Cranbourne,Australia
11036,Jennifer,Russell,Jennifer Russell,1984-06-16,M,Female,60000,0,Partial College,Skilled Manual,2021-01-22,1-2 Miles,National City,United States
11037,Chloe,Garcia,Chloe Garcia,1983-05-27,S,Female,40000,0,Partial High School,Clerical,2021-01-20,5-10 Miles,Cliffside,Canada
11038,Diana,Hernandez,Diana Hernandez,1953-09-20,M,Female,10000,2,Partial High School,Clerical,2019-02-07,5-10 Miles,Lavender Bay,Australia
11039,Marc,Martin,Marc Martin,1954-06-16,M,Male,30000,3,Partial College,Clerical,2019-02-07,5-10 Miles,Wollongong,Australia
11040,Jesse,Murphy,Jesse Murphy,1983-01-29,M,Male,30000,0,Partial College,Skilled Manual,2021-04-03,1-2 Miles,Tacoma,United States
11041,Amanda,Carter,Amanda Carter,1983-04-15,M,Female,60000,0,Partial College,Skilled Manual,2021-01-14,1-2 Miles,Glendale,United States
11042,Megan,Sanchez,Megan Sanchez,1982-12-11,M,Female,70000,0,Partial College,Skilled Manual,2021-01-21,0-1 Miles,Los Angeles,United States
11043,Nathan,Simmons,Nathan Simmons,1981-08-23,M,Male,60000,0,Partial College,Skilled Manual,2021-05-08,5-10 Miles,Glendale,United States
11044,Adam,Flores,Adam Flores,1954-11-21,M,Male,20000,2,Partial High School,Clerical,2019-02-28,1-2 Miles,Hervey Bay,Australia
11045,Leonard,Nara,Leonard Nara,1955-11-16,S,Male,30000,3,High School,Skilled Manual,2021-04-10,1-2 Miles,Matraville,Australia
11046,Christine,Yuan,Christine Yuan,1955-09-19,M,Female,30000,3,High School,Skilled Manual,2019-02-06,5-10 Miles,Lavender Bay,Australia
11047,Jaclyn,Lu,Jaclyn Lu,1955-08-27,M,Female,30000,3,High School,Skilled Manual,2019-02-03,1-2 Miles,Geelong,Australia
11048,Jeremy,Powell,Jeremy Powell,1956-05-21,M,Male,30000,3,High School,Skilled Manual,2019-02-10,5-10 Miles,Sunbury,Australia
11049,Carol,Rai,Carol Rai,1986-01-15,S,Female,40000,0,Partial High School,Clerical,2021-03-09,5-10 Miles,Chula Vista,United States
11050,Alan,Zheng,Alan Zheng,1957-03-06,M,Male,30000,3,High School,Skilled Manual,2019-02-20,5-10 Miles,Hobart,Australia
11051,Daniel,Johnson,Daniel Johnson,1957-01-31,S,Male,30000,3,High School,Skilled Manual,2021-12-29,1-2 Miles,Caloundra,Australia
11052,Heidi,Lopez,Heidi Lopez,1957-02-03,S,Female,40000,2,Partial College,Clerical,2019-02-17,5-10 Miles,Matraville,Australia
11053,Ana,Price,Ana Price,1986-02-17,M,Female,60000,0,Partial College,Skilled Manual,2021-01-17,1-2 Miles,San Diego,United States
11054,Deanna,Munoz,Deanna Munoz,1957-09-07,M,Female,40000,2,Partial College,Skilled Manual,2019-02-03,5-10 Miles,Geelong,Australia
11055,Gilbert,Raje,Gilbert Raje,1957-09-02,M,Male,40000,2,Partial College,Skilled Manual,2019-01-31,5-10 Miles,East Brisbane,Australia
11056,Michele,Nath,Michele Nath,1958-10-01,M,Female,40000,3,Partial College,Skilled Manual,2019-02-26,5-10 Miles,Newcastle,Australia
11057,Carl,Andersen,Carl Andersen,1970-04-07,M,Male,70000,2,Graduate Degree,Management,2019-02-22,1-2 Miles,Lane Cove,Australia
11058,Marc,Diaz,Marc Diaz,1965-04-23,M,Male,80000,2,Partial College,Skilled Manual,2019-03-09,1-2 Miles,Findon,Australia
11059,Ashlee,Andersen,Ashlee Andersen,1959-09-29,S,Female,80000,2,Partial College,Skilled Manual,2021-02-18,5-10 Miles,Townsville,Australia
11060,Jon,Zhou,Jon Zhou,1959-09-14,M,Male,80000,2,Partial College,Skilled Manual,2019-03-19,5-10 Miles,Warrnambool,Australia
11061,Todd,Gao,Todd Gao,1976-02-20,M,Male,80000,2,Partial College,Skilled Manual,2019-03-13,5-10 Miles,Gold Coast,Australia
11062,Noah,Powell,Noah Powell,1981-03-01,M,Male,40000,0,High School,Skilled Manual,2021-01-07,5-10 Miles,Portland,United States
11063,Angela,Murphy,Angela Murphy,1980-10-04,S,Female,40000,0,High School,Skilled Manual,2021-01-12,5-10 Miles,Redmond,United States
11064,Chase,Reed,Chase Reed,1981-06-05,M,Male,40000,0,High School,Skilled Manual,2021-01-25,5-10 Miles,Downey,United States
11065,Jessica,Henderson,Jessica Henderson,1979-04-08,M,Female,60000,0,Partial College,Skilled Manual,2021-02-10,1-2 Miles,La Jolla,United States
11066,Grace,Butler,Grace Butler,1979-05-27,M,Female,70000,0,Partial College,Professional,2021-05-31,5-10 Miles,Lebanon,United States
11067,Caleb,Carter,Caleb Carter,1982-03-25,S,Male,60000,0,Partial College,Professional,2021-08-18,5-10 Miles,Port Orchard,United States
11068,Tiffany,Liang,Tiffany Liang,1966-09-19,S,Female,80000,2,High School,Skilled Manual,2021-04-30,5-10 Miles,Warrnambool,Australia
11069,Carolyn,Navarro,Carolyn Navarro,1966-09-17,S,Female,80000,2,High School,Skilled Manual,2019-04-17,1-2 Miles,Gold Coast,Australia
11070,Willie,Raji,Willie Raji,1960-10-02,M,Male,80000,2,High School,Skilled Manual,2019-04-28,5-10 Miles,Sunbury,Australia
11071,Linda,Serrano,Linda Serrano,1960-12-23,S,Female,80000,2,High School,Skilled Manual,2021-03-01,5-10 Miles,Hawthorne,Australia
11072,Casey,Luo,Casey Luo,1960-08-05,S,Female,80000,2,High School,Skilled Manual,2019-03-31,1-2 Miles,St. Leonards,Australia
11073,Amy,Ye,Amy Ye,1962-02-11,S,Female,70000,2,High School,Skilled Manual,2021-03-23,5-10 Miles,Springwood,Australia
11074,Levi,Arun,Levi Arun,1962-02-25,S,Male,70000,2,High School,Skilled Manual,2021-03-23,5-10 Miles,Cloverdale,Australia
11075,Felicia,Jimenez,Felicia Jimenez,1963-05-16,S,Female,80000,2,High School,Professional,2019-04-28,5-10 Miles,Bendigo,Australia
11076,Blake,Anderson,Blake Anderson,1963-01-10,S,Male,80000,2,High School,Professional,2019-04-21,5-10 Miles,Wollongong,Australia
11077,Leah,Ye,Leah Ye,1963-03-19,S,Female,80000,2,High School,Professional,2019-04-15,1-2 Miles,Melton,Australia
11078,Gina,Martin,Gina Martin,1985-01-06,S,Female,40000,0,High School,Professional,2021-02-15,1-2 Miles,Cliffside,Canada
11079,Donald,Gonzalez,Donald Gonzalez,1970-03-07,S,Male,160000,0,Graduate Degree,Management,2021-03-15,0-1 Miles,Geelong,Australia
11080,Damien,Chander,Damien Chander,1965-01-13,M,Male,170000,0,Graduate Degree,Management,2019-04-10,0-1 Miles,Perth,Australia
11081,Savannah,Baker,Savannah Baker,1972-01-21,M,Female,120000,2,Bachelors,Management,2021-02-12,2-5 Miles,Concord,United States
11082,Angela,Butler,Angela Butler,1972-02-01,S,Female,130000,0,Graduate Degree,Management,2021-01-22,1-2 Miles,Fremont,United States
11083,Alyssa,Cox,Alyssa Cox,1977-03-11,M,Female,130000,0,Graduate Degree,Management,2021-01-06,1-2 Miles,Lincoln Acres,United States
11084,Lucas,Phillips,Lucas Phillips,1963-03-12,S,Male,80000,2,Partial High School,Skilled Manual,2021-01-04,1-2 Miles,Lebanon,United States
11085,Emily,Johnson,Emily Johnson,1963-01-16,S,Female,60000,2,High School,Professional,2021-12-06,5-10 Miles,Newport Beach,United States
11086,Ryan,Brown,Ryan Brown,1963-06-22,M,Male,70000,2,Partial College,Professional,2021-07-02,0-1 Miles,Santa Monica,United States
11087,Tamara,Liang,Tamara Liang,1963-04-02,M,Female,70000,3,Partial College,Professional,2021-02-25,0-1 Miles,Chula Vista,United States
11088,Hunter,Davis,Hunter Davis,1963-05-25,M,Male,80000,2,Bachelors,Management,2021-01-13,2-5 Miles,San Diego,United States
11089,Abigail,Price,Abigail Price,1962-08-05,S,Female,80000,2,Bachelors,Management,2020-12-29,2-5 Miles,Long Beach,United States
11090,Trevor,Bryant,Trevor Bryant,1968-12-13,S,Male,90000,2,Partial College,Professional,2019-08-07,2-5 Miles,Los Angeles,United States
11091,Dalton,Perez,Dalton Perez,1962-10-02,M,Male,90000,2,Partial College,Professional,2021-01-29,5-10 Miles,Haney,Canada
11092,Cheryl,Diaz,Cheryl Diaz,1972-11-02,M,Female,90000,2,Bachelors,Professional,2019-04-08,1-2 Miles,East Brisbane,Australia
11093,Aimee,He,Aimee He,1978-09-06,M,Female,100000,0,Graduate Degree,Management,2019-04-07,0-1 Miles,Wollongong,Australia
11094,Cedric,Ma,Cedric Ma,1967-09-29,S,Male,70000,1,Partial College,Skilled Manual,2021-04-07,0-1 Miles,Cranbourne,Australia
11095,Chad,Kumar,Chad Kumar,1968-02-29,S,Male,70000,1,Partial College,Skilled Manual,2019-04-01,5-10 Miles,Port Macquarie,Australia
11096,Andrés,Anand,Andrés Anand,1968-02-07,M,Male,60000,1,Bachelors,Professional,2019-04-11,5-10 Miles,North Sydney,Australia
11097,Edwin,Nara,Edwin Nara,1972-10-23,M,Male,60000,1,Partial College,Skilled Manual,2019-04-04,5-10 Miles,Warrnambool,Australia
11098,Mallory,Rubio,Mallory Rubio,1966-10-29,S,Female,60000,1,Partial College,Skilled Manual,2021-02-11,0-1 Miles,Rhodes,Australia
11099,Adam,Ross,Adam Ross,1966-09-05,M,Male,60000,1,Bachelors,Professional,2019-04-07,0-1 Miles,Port Macquarie,Australia
11100,Latasha,Navarro,Latasha Navarro,1966-03-15,S,Female,60000,1,Partial College,Skilled Manual,2019-04-16,5-10 Miles,Cloverdale,Australia
11101,Abby,Sai,Abby Sai,1970-11-05,S,Female,70000,0,Bachelors,Professional,2019-04-29,0-1 Miles,Cranbourne,Australia
11102,Julia,Nelson,Julia Nelson,1970-10-19,S,Female,80000,5,Bachelors,Professional,2021-07-16,1-2 Miles,Sydney,Australia
11103,Cassie,Chande,Cassie Chande,1981-04-12,S,Female,70000,0,Bachelors,Professional,2019-04-15,5-10 Miles,Darlinghurst,Australia
11104,Edgar,Sara,Edgar Sara,1975-03-08,M,Male,70000,0,Bachelors,Professional,2019-05-04,0-1 Miles,Gold Coast,Australia
11105,Candace,Fernandez,Candace Fernandez,1970-06-27,S,Female,70000,0,Bachelors,Professional,2019-05-14,5-10 Miles,Matraville,Australia
11106,Jessie,Liu,Jessie Liu,1970-03-11,S,Male,70000,0,Bachelors,Professional,2019-05-18,5-10 Miles,Warrnambool,Australia
11107,Bianca,Lin,Bianca Lin,1976-03-04,M,Female,90000,1,Bachelors,Professional,2019-05-01,5-10 Miles,St. Leonards,Australia
11108,Kari,Alvarez,Kari Alvarez,1969-01-10,S,Female,70000,0,Bachelors,Professional,2019-05-03,0-1 Miles,Port Macquarie,Australia
11109,Ruben,Kapoor,Ruben Kapoor,1980-04-30,S,Male,70000,0,Bachelors,Professional,2019-05-10,0-1 Miles,South Melbourne,Australia
11110,Curtis,Yang,Curtis Yang,1967-12-04,M,Male,60000,1,Partial College,Skilled Manual,2019-05-01,5-10 Miles,Darlinghurst,Australia
11111,Meredith,Gutierrez,Meredith Gutierrez,1967-08-23,M,Female,60000,1,Partial College,Skilled Manual,2019-05-20,0-1 Miles,Geelong,Australia
11112,Crystal,Wang,Crystal Wang,1968-03-08,M,Female,60000,1,Partial College,Skilled Manual,2019-05-25,0-1 Miles,Hervey Bay,Australia
11113,Micheal,Blanco,Micheal Blanco,1973-02-17,M,Male,70000,5,Bachelors,Professional,2021-02-01,5-10 Miles,Perth,Australia
11114,Leslie,Moreno,Leslie Moreno,1967-11-25,S,Female,70000,5,Partial College,Skilled Manual,2021-03-18,5-10 Miles,Rhodes,Australia
11115,Alvin,Cai,Alvin Cai,1967-08-12,M,Male,70000,5,Partial College,Skilled Manual,2021-02-10,0-1 Miles,St. Leonards,Australia
11116,Clinton,Carlson,Clinton Carlson,1979-04-02,M,Male,70000,5,Partial College,Skilled Manual,2021-03-15,5-10 Miles,Sydney,Australia
11117,April,Deng,April Deng,1966-08-21,M,Female,70000,5,Partial College,Skilled Manual,2019-05-06,10+ Miles,Matraville,Australia
11118,Alvin,Zeng,Alvin Zeng,1962-12-31,S,Male,80000,1,Partial College,Skilled Manual,2021-07-10,0-1 Miles,Lavender Bay,Australia
11119,Evan,James,Evan James,1940-10-07,S,Male,30000,2,Partial College,Clerical,2021-02-03,0-1 Miles,Port Macquarie,Australia
11120,Beth,Jiménez,Beth Jiménez,1942-02-06,S,Female,40000,2,Bachelors,Management,2019-05-14,5-10 Miles,Sydney,Australia
11121,Orlando,Suarez,Orlando Suarez,1966-05-18,M,Male,70000,5,Partial College,Skilled Manual,2021-06-24,10+ Miles,Newcastle,Australia
11122,Byron,Vazquez,Byron Vazquez,1965-09-30,M,Male,70000,5,Partial College,Skilled Manual,2021-02-21,5-10 Miles,North Sydney,Australia
11123,Philip,Alvarez,Philip Alvarez,1965-12-18,M,Male,70000,5,Partial College,Skilled Manual,2021-04-17,10+ Miles,Sunbury,Australia
11124,Ross,Jordan,Ross Jordan,1968-07-23,S,Male,80000,1,Partial College,Skilled Manual,2019-05-05,5-10 Miles,Warrnambool,Australia
11125,Dana,Navarro,Dana Navarro,1961-10-06,S,Female,70000,1,Partial College,Skilled Manual,2021-01-31,5-10 Miles,Seaford,Australia
11126,Shaun,Carson,Shaun Carson,1954-10-05,M,Male,10000,2,High School,Skilled Manual,2019-05-28,0-1 Miles,North Ryde,Australia
11127,Jan,Edwards,Jan Edwards,1981-04-19,M,Female,40000,0,High School,Skilled Manual,2021-04-10,5-10 Miles,San Gabriel,United States
11128,Samantha,Long,Samantha Long,1981-06-03,M,Female,40000,0,High School,Skilled Manual,2021-06-19,5-10 Miles,Renton,United States
11129,Julia,Wright,Julia Wright,1981-02-01,S,Female,40000,0,High School,Skilled Manual,2019-08-06,5-10 Miles,Sedro Woolley,United States
11130,Caroline,Russell,Caroline Russell,1985-07-05,M,Female,30000,0,High School,Skilled Manual,2021-12-09,5-10 Miles,Lebanon,United States
11131,Amanda,Rivera,Amanda Rivera,1985-09-09,M,Female,30000,0,High School,Skilled Manual,2021-10-18,0-1 Miles,Haney,Canada
11132,Melissa,Richardson,Melissa Richardson,1986-04-25,S,Female,30000,0,High School,Skilled Manual,2021-04-09,5-10 Miles,Langford,Canada
11133,Angela,Griffin,Angela Griffin,1986-03-08,S,Female,30000,0,Partial High School,Clerical,2021-12-30,0-1 Miles,Lake Oswego,United States
11134,Larry,Townsend,Larry Townsend,1957-02-22,S,Male,10000,5,High School,Skilled Manual,2019-05-03,5-10 Miles,Perth,Australia
11135,Marcus,Harris,Marcus Harris,1985-05-02,S,Male,30000,0,Partial High School,Clerical,2021-04-18,5-10 Miles,Burlingame,United States
11136,Brianna,Morgan,Brianna Morgan,1984-04-24,S,Female,40000,0,High School,Skilled Manual,2021-01-03,0-1 Miles,Metchosin,Canada
11137,Jasmine,Taylor,Jasmine Taylor,1984-01-17,M,Female,40000,0,High School,Skilled Manual,2021-07-31,5-10 Miles,Spokane,United States
11138,Lauren,Davis,Lauren Davis,1984-03-14,M,Female,40000,0,High School,Skilled Manual,2021-09-19,0-1 Miles,Glendale,United States
11139,Tanya,Moreno,Tanya Moreno,1949-11-05,S,Female,30000,2,Partial College,Clerical,2021-09-14,5-10 Miles,Cloverdale,Australia
11140,Javier,Alvarez,Javier Alvarez,1982-08-11,S,Male,30000,0,Partial High School,Clerical,2021-03-19,5-10 Miles,Burbank,United States
11141,Nicole,Ramirez,Nicole Ramirez,1982-12-19,M,Female,40000,0,High School,Skilled Manual,2021-05-16,0-1 Miles,Daly City,United States
11142,Eduardo,Patterson,Eduardo Patterson,1983-02-11,S,Male,40000,0,High School,Skilled Manual,2021-02-13,0-1 Miles,Langford,Canada
11143,Jonathan,Henderson,Jonathan Henderson,1982-08-04,M,Male,40000,0,High School,Skilled Manual,2021-06-15,5-10 Miles,Lakewood,United States
11144,Edward,Hernandez,Edward Hernandez,1985-03-08,S,Male,40000,0,High School,Skilled Manual,2021-01-25,0-1 Miles,Ballard,United States
11145,Jasmine,Coleman,Jasmine Coleman,1985-06-06,S,Female,40000,0,High School,Skilled Manual,2021-01-25,0-1 Miles,Beaverton,United States
11146,Karla,Goel,Karla Goel,1945-02-22,S,Female,40000,2,Bachelors,Management,2021-02-05,5-10 Miles,Matraville,Australia
11147,Ernest,Wu,Ernest Wu,1944-08-04,M,Male,60000,2,Graduate Degree,Management,2019-05-13,0-1 Miles,Warrnambool,Australia
11148,Ross,Vazquez,Ross Vazquez,1947-02-13,M,Male,40000,2,Bachelors,Management,2021-03-07,5-10 Miles,East Brisbane,Australia
11149,Theodore,Gill,Theodore Gill,1946-10-18,M,Male,40000,2,Bachelors,Management,2021-06-04,0-1 Miles,Hervey Bay,Australia
11150,Russell,Shen,Russell Shen,1946-09-12,S,Male,40000,2,Bachelors,Management,2021-03-27,5-10 Miles,Sunbury,Australia
11151,Melinda,Gill,Melinda Gill,1947-08-25,S,Female,60000,2,Graduate Degree,Management,2019-05-15,0-1 Miles,Sydney,Australia
11152,James,Williams,James Williams,1981-07-09,S,Male,40000,0,High School,Skilled Manual,2021-01-09,5-10 Miles,Puyallup,United States
11153,Angela,James,Angela James,1981-12-21,M,Female,40000,0,High School,Skilled Manual,2021-03-29,5-10 Miles,Renton,United States
11154,Megan,Walker,Megan Walker,1982-02-18,S,Female,40000,0,Partial College,Skilled Manual,2021-01-10,5-10 Miles,Woodburn,United States
11155,Hunter,Robinson,Hunter Robinson,1981-07-25,S,Male,40000,0,Partial College,Skilled Manual,2021-01-06,1-2 Miles,Burbank,United States
11156,Maria,Roberts,Maria Roberts,1981-08-06,S,Female,40000,0,Partial College,Skilled Manual,2021-01-08,1-2 Miles,Lakewood,United States
11157,Hannah,Long,Hannah Long,1980-12-08,M,Female,40000,0,High School,Skilled Manual,2021-07-24,5-10 Miles,Tacoma,United States
11158,Jason,Wright,Jason Wright,1981-04-06,S,Male,40000,0,High School,Skilled Manual,2021-01-19,5-10 Miles,San Gabriel,United States
11159,Brianna,Hughes,Brianna Hughes,1981-03-16,S,Female,40000,0,High School,Skilled Manual,2021-09-08,1-2 Miles,Woodland Hills,United States
11160,Maurice,Tang,Maurice Tang,1979-07-08,S,Male,40000,0,Partial College,Skilled Manual,2021-02-21,5-10 Miles,Concord,United States
11161,Emily,Wood,Emily Wood,1979-10-20,S,Female,40000,0,Partial College,Skilled Manual,2021-06-01,1-2 Miles,Concord,United States
11162,Chase,Cox,Chase Cox,1979-09-02,S,Male,40000,0,Partial College,Skilled Manual,2021-02-18,5-10 Miles,La Jolla,United States
11163,Gabriel,Wang,Gabriel Wang,1980-06-18,M,Male,40000,0,Partial College,Skilled Manual,2021-05-01,5-10 Miles,Spring Valley,United States
11164,Devin,Brooks,Devin Brooks,1979-11-02,S,Male,40000,0,Partial College,Skilled Manual,2021-04-27,1-2 Miles,Torrance,United States
11165,Jocelyn,Alexander,Jocelyn Alexander,1979-01-15,M,Female,60000,0,Partial College,Skilled Manual,2021-05-25,1-2 Miles,Oakland,United States
11166,Ashley,Martinez,Ashley Martinez,1977-10-22,S,Female,70000,0,Partial College,Skilled Manual,2021-10-14,0-1 Miles,Olympia,United States
11167,Jasmine,Barnes,Jasmine Barnes,1978-01-29,S,Female,80000,0,Bachelors,Management,2021-01-07,0-1 Miles,Issaquah,United States
11168,David,Rodriguez,David Rodriguez,1973-11-12,S,Male,80000,0,Bachelors,Management,2021-01-15,0-1 Miles,Oakland,United States
11169,Bryce,Richardson,Bryce Richardson,1973-12-20,M,Male,90000,4,Bachelors,Management,2021-05-26,0-1 Miles,Coronado,United States
11170,Carol,Howard,Carol Howard,1973-08-04,M,Female,90000,4,Bachelors,Management,2021-08-26,0-1 Miles,Burien,United States
11171,Jonathan,Hill,Jonathan Hill,1978-10-05,S,Male,100000,1,Bachelors,Management,2019-08-20,1-2 Miles,Woodland Hills,United States
11172,Gabrielle,Adams,Gabrielle Adams,1973-05-20,M,Female,100000,1,Bachelors,Management,2021-05-03,1-2 Miles,Lynnwood,United States
11173,Sarah,Thomas,Sarah Thomas,1973-02-28,S,Female,110000,0,Graduate Degree,Management,2021-03-02,0-1 Miles,W. Linn,United States
11174,Nicholas,Robinson,Nicholas Robinson,1973-01-09,M,Male,110000,0,Graduate Degree,Management,2021-07-13,2-5 Miles,Los Angeles,United States
11175,Luis,Wang,Luis Wang,1968-09-01,S,Male,70000,0,Partial College,Skilled Manual,2019-08-28,5-10 Miles,Beverly Hills,United States
11176,Mason,Roberts,Mason Roberts,1979-01-21,M,Male,90000,4,Bachelors,Management,2021-02-02,1-2 Miles,Haney,Canada
11177,Jose,Flores,Jose Flores,1948-01-01,M,Male,110000,2,Graduate Degree,Management,2021-03-29,5-10 Miles,San Diego,United States
11178,Nathan,Johnson,Nathan Johnson,1954-08-20,M,Male,100000,2,Graduate Degree,Management,2021-02-21,1-2 Miles,Lakewood,United States
11179,Molly,Rodriguez,Molly Rodriguez,1959-12-08,M,Female,120000,2,Graduate Degree,Management,2021-03-12,5-10 Miles,Beverly Hills,United States
11180,April,Anand,April Anand,1948-07-01,M,Female,160000,1,Bachelors,Management,2021-03-17,0-1 Miles,Chula Vista,United States
11181,Devin,Martin,Devin Martin,1960-02-01,M,Male,170000,2,Graduate Degree,Management,2021-05-07,0-1 Miles,Los Angeles,United States
11182,Stephanie,Torres,Stephanie Torres,1950-02-22,S,Female,70000,4,Bachelors,Management,2021-08-28,10+ Miles,Sedro Woolley,United States
11183,Jasmine,Lee,Jasmine Lee,1950-01-12,S,Female,70000,4,Bachelors,Management,2021-04-30,10+ Miles,Santa Cruz,United States
11184,Meghan,Hernandez,Meghan Hernandez,1955-11-13,S,Female,70000,4,Bachelors,Management,2021-08-10,10+ Miles,Concord,United States
11185,Ashley,Henderson,Ashley Henderson,1950-04-07,S,Female,70000,4,Bachelors,Management,2021-02-21,10+ Miles,Metchosin,Canada
11186,Sarah,Price,Sarah Price,1949-11-18,S,Female,70000,4,Bachelors,Management,2021-10-18,10+ Miles,Palo Alto,United States
11187,Jennifer,Cooper,Jennifer Cooper,1949-08-21,M,Female,60000,4,Graduate Degree,Management,2021-04-03,10+ Miles,Burien,United States
